arm,slice,class,metric,value,n_images,n_instances,reportable,timestamp
base_10,night_clear,all,mAP75,0.26338,3274,31550,True,2026-09-12T10:24:16.975555+00:00
base_10,night_clear,car,mAP50-95,0.3972,3274,30489,True,2026-09-12T10:24:16.975555+00:00
base_10,night_clear,car,mAP50,0.72619,3274,30489,True,2026-09-12T10:24:16.975555+00:00
base_10,night_clear,car,mAP75,0.3701,3274,30489,True,2026-09-12T10:24:16.975555+00:00
base_10,night_clear,truck,mAP50-95,0.33023,3274,577,False,2026-09-12T10:24:16.975555+00:00
base_10,night_clear,truck,mAP50,0.47468,3274,577,False,2026-09-12T10:24:16.975555+00:00
base_10,night_clear,truck,mAP75,0.37044,3274,577,False,2026-09-12T10:24:16.975555+00:00
base_10,night_clear,bus,mAP50-95,0.34541,3274,251,False,2026-09-12T10:24:16.975555+00:00
base_10,night_clear,bus,mAP50,0.4578,3274,251,False,2026-09-12T10:24:16.975555+00:00
base_10,night_clear,bus,mAP75,0.39992,3274,251,False,2026-09-12T10:24:16.975555+00:00
base_10,night_clear,motor,mAP50-95,0.0841,3274,81,False,2026-09-12T10:24:16.975555+00:00
base_10,night_clear,motor,mAP50,0.19526,3274,81,False,2026-09-12T10:24:16.975555+00:00
base_10,night_clear,motor,mAP75,0.0756,3274,81,False,2026-09-12T10:24:16.975555+00:00
base_10,night_clear,bike,mAP50-95,0.15818,3274,152,False,2026-09-12T10:24:16.975555+00:00
base_10,night_clear,bike,mAP50,0.36715,3274,152,False,2026-09-12T10:24:16.975555+00:00
base_10,night_clear,bike,mAP75,0.10086,3274,152,False,2026-09-12T10:24:16.975555+00:00
base_10,night_rainy,all,mAP50-95,0.33098,286,2535,True,2026-09-12T10:24:16.975555+00:00
base_10,night_rainy,all,mAP50,0.50773,286,2535,True,2026-09-12T10:24:16.975555+00:00
base_10,night_rainy,all,mAP75,0.34242,286,2535,True,2026-09-12T10:24:16.975555+00:00
base_10,night_rainy,car,mAP50-95,0.40383,286,2416,True,2026-09-12T10:24:16.975555+00:00
base_10,night_rainy,car,mAP50,0.707,286,2416,True,2026-09-12T10:24:16.975555+00:00
base_10,night_rainy,car,mAP75,0.39625,286,2416,True,2026-09-12T10:24:16.975555+00:00
base_10,night_rainy,truck,mAP50-95,0.34539,286,72,False,2026-09-12T10:24:16.975555+00:00
base_10,night_rainy,truck,mAP50,0.50871,286,72,False,2026-09-12T10:24:16.975555+00:00
base_10,night_rainy,truck,mAP75,0.3934,286,72,False,2026-09-12T10:24:16.975555+00:00
base_10,night_rainy,bus,mAP50-95,0.54781,286,22,False,2026-09-12T10:24:16.975555+00:00
base_10,night_rainy,bus,mAP50,0.69651,286,22,False,2026-09-12T10:24:16.975555+00:00
base_10,night_rainy,bus,mAP75,0.59621,286,22,False,2026-09-12T10:24:16.975555+00:00
base_10,night_rainy,motor,mAP50-95,0.18323,286,10,False,2026-09-12T10:24:16.975555+00:00
base_10,night_rainy,motor,mAP50,0.31962,286,10,False,2026-09-12T10:24:16.975555+00:00
base_10,night_rainy,motor,mAP75,0.14109,286,10,False,2026-09-12T10:24:16.975555+00:00
base_10,night_rainy,bike,mAP50-95,0.17462,286,15,False,2026-09-12T10:24:16.975555+00:00
base_10,night_rainy,bike,mAP50,0.30682,286,15,False,2026-09-12T10:24:16.975555+00:00
base_10,night_rainy,bike,mAP75,0.18515,286,15,False,2026-09-12T10:24:16.975555+00:00
base_10,night_snowy,all,mAP50-95,0.23177,273,2374,True,2026-09-12T10:24:16.975555+00:00
base_10,night_snowy,all,mAP50,0.37623,273,2374,True,2026-09-12T10:24:16.975555+00:00
base_10,night_snowy,all,mAP75,0.22287,273,2374,True,2026-09-12T10:24:16.975555+00:00
base_10,night_snowy,car,mAP50-95,0.41701,273,2251,True,2026-09-12T10:24:16.975555+00:00
base_10,night_snowy,car,mAP50,0.74866,273,2251,True,2026-09-12T10:24:16.975555+00:00
base_10,night_snowy,car,mAP75,0.39491,273,2251,True,2026-09-12T10:24:16.975555+00:00
base_10,night_snowy,truck,mAP50-95,0.25638,273,83,False,2026-09-12T10:24:16.975555+00:00
base_10,night_snowy,truck,mAP50,0.38521,273,83,False,2026-09-12T10:24:16.975555+00:00
base_10,night_snowy,truck,mAP75,0.27169,273,83,False,2026-09-12T10:24:16.975555+00:00
base_10,night_snowy,bus,mAP50-95,0.35058,273,19,False,2026-09-12T10:24:16.975555+00:00
base_10,night_snowy,bus,mAP50,0.44316,273,19,False,2026-09-12T10:24:16.975555+00:00
base_10,night_snowy,bus,mAP75,0.44012,273,19,False,2026-09-12T10:24:16.975555+00:00
base_10,night_snowy,motor,mAP50-95,0.08416,273,2,False,2026-09-12T10:24:16.975555+00:00
